ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
23.007762,113.20648,-2.628715,8,0,0,93.635966,-0.25842052,-0.27536298
command type,yaw (deg),pitch (deg),roll (deg),vx_body (m/s),vy_body (m/s),vz_body (m/s),command duration (s),GPS visibility
1,0.35248551,0.0055390806,0.0042018797,0,0,0,0.05,1
1,0.3511988,0.0055370189,0.004209088,0,0,0,0.05,1
1,0.34991209,0.0055349548,0.0042162763,0,0,0,0.05,1
1,0.34862539,0.0055328884,0.0042234447,0,0,0,0.05,1
1,0.3473387,0.0055308195,0.0042305933,0,0,0,0.05,1
1,0.34605201,0.0055287482,0.0042377219,0,0,0,0.05,1
1,0.34476533,0.0055266746,0.0042448306,0,0,0,0.05,1
1,0.34347866,0.0055245985,0.0042519193,0,0,0,0.05,1
1,0.342192,0.00552252,0.0042589882,0,0,0,0.05,1
1,0.34090534,0.0055204391,0.0042660372,0,0,0,0.05,1
1,0.33961869,0.0055183559,0.0042730662,0,0,0,0.05,1
1,0.33833204,0.0055162702,0.0042800754,0,0,0,0.05,1
1,0.3370454,0.0055141821,0.0042870646,0,0,0,0.05,1
1,0.33575877,0.0055120916,0.0042940339,0,0,0,0.05,1
1,0.33447215,0.0055099987,0.0043009833,0,0,0,0.05,1
1,0.33318553,0.0055079034,0.0043079128,0,0,0,0.05,1
1,0.33189892,0.0055058057,0.0043148224,0,0,0,0.05,1
1,0.33061232,0.0055037056,0.004321712,0,0,0,0.05,1
1,0.32932572,0.005501603,0.0043285818,0,0,0,0.05,1
1,0.32803913,0.0054994981,0.0043354316,0,0,0,0.05,1
1,0.32675255,0.0054973908,0.0043422615,0,0,0,0.05,1
1,0.32546597,0.0054952811,0.0043490715,0,0,0,0.05,1
1,0.32417941,0.005493169,0.0043558616,0,0,0,0.05,1
1,0.32289284,0.0054910544,0.0043626318,0,0,0,0.05,1
1,0.32160629,0.0054889375,0.0043693821,0,0,0,0.05,1
1,0.32031974,0.0054868182,0.0043761125,0,0,0,0.05,1
1,0.3190332,0.0054846964,0.0043828229,0,0,0,0.05,1
1,0.31774666,0.0054825723,0.0043895134,0,0,0,0.05,1
1,0.31646014,0.0054804457,0.0043961841,0,0,0,0.05,1
1,0.31517361,0.0054783168,0.0044028348,0,0,0,0.05,1
1,0.3138871,0.0054761854,0.0044094656,0,0,0,0.05,1
1,0.31260059,0.0054740517,0.0044160765,0,0,0,0.05,1
1,0.31131409,0.0054719155,0.0044226674,0,0,0,0.05,1
1,0.3100276,0.005469777,0.0044292385,0,0,0,0.05,1
1,0.30874111,0.005467636,0.0044357897,0,0,0,0.05,1
1,0.30745463,0.0054654926,0.0044423209,0,0,0,0.05,1
1,0.30616816,0.0054633469,0.0044488322,0,0,0,0.05,1
1,0.3048817,0.0054611987,0.0044553236,0,0,0,0.05,1
1,0.30359524,0.0054590481,0.0044617951,0,0,0,0.05,1
1,0.30230878,0.0054568951,0.0044682467,0,0,0,0.05,1
1,0.30102234,0.0054547397,0.0044746784,0,0,0,0.05,1
1,0.2997359,0.0054525819,0.0044810902,0,0,0,0.05,1
1,0.29844947,0.0054504218,0.004487482,0,0,0,0.05,1
1,0.29716304,0.0054482592,0.004493854,0,0,0,0.05,1
1,0.29587663,0.0054460942,0.004500206,0,0,0,0.05,1
1,0.29459022,0.0054439268,0.0045065381,0,0,0,0.05,1
